age,gender,married,dependents,education,employment_type,years_at_job,annual_income,coapplicant_income,credit_score,credit_history,loan_amount,loan_amount_term,loan_purpose,property_area,collateral_value,loan_status
54,Female,No,3,Graduate,Self-Employed,26,130,845,528,Bad,686,240,Car,Rural,439,Rejected
31,Female,No,0,Not Graduate,Business,13,743,987,590,Bad,664,180,Business,Rural,524,Rejected
54,Male,Yes,2,Graduate,Business,6,1778,477,318,Good,343,480,Business,Semiurban,943,Rejected
53,Male,Yes,3,Graduate,Business,17,329,235,519,Good,707,360,Business,Urban,772,Rejected
46,Female,Yes,3,Not Graduate,Self-Employed,21,1808,15,301,Good,457,300,Business,Semiurban,958,Rejected
22,Female,Yes,2,Not Graduate,Self-Employed,12,239,305,783,Good,113,180,Education,Urban,523,Approved
43,Female,No,0,Not Graduate,Business,12,1709,503,479,Good,731,300,Car,Rural,262,Rejected
61,Male,Yes,0,Not Graduate,Salaried,8,1385,419,703,Bad,599,480,Home,Urban,537,Rejected
42,Female,Yes,1,Graduate,Business,23,1273,558,486,Good,531,180,Business,Rural,268,Rejected
54,Female,No,1,Graduate,Salaried,21,1953,378,686,Bad,169,240,Other,Urban,336,Rejected
35,Female,Yes,0,Not Graduate,Self-Employed,17,1420,188,563,Good,170,180,Education,Rural,249,Rejected
30,Female,No,1,Graduate,Self-Employed,26,1090,337,339,Good,728,360,Car,Semiurban,331,Rejected
35,Female,Yes,1,Graduate,Self-Employed,2,1011,198,329,Bad,289,180,Personal,Semiurban,136,Rejected
62,Male,No,2,Not Graduate,Unemployed,2,842,266,823,Good,625,240,Other,Urban,2,Rejected
49,Male,No,0,Graduate,Salaried,13,273,910,476,Bad,53,480,Other,Rural,610,Rejected
43,Female,No,2,Not Graduate,Unemployed,8,1569,685,402,Good,761,360,Personal,Urban,134,Rejected
37,Male,Yes,2,Not Graduate,Self-Employed,15,541,203,572,Good,742,480,Business,Semiurban,552,Rejected
29,Male,No,3,Graduate,Business,24,1031,755,322,Good,376,480,Car,Semiurban,506,Rejected
56,Female,Yes,0,Not Graduate,Business,4,998,123,426,Bad,118,240,Personal,Rural,201,Rejected
29,Male,No,2,Graduate,Unemployed,29,128,252,582,Good,633,240,Other,Semiurban,99,Rejected
36,Male,No,1,Graduate,Business,12,742,190,318,Good,127,180,Other,Rural,509,Rejected
56,Female,No,3,Graduate,Self-Employed,26,918,984,471,Good,233,360,Business,Rural,542,Rejected
53,Female,Yes,1,Graduate,Unemployed,20,1389,833,421,Good,691,180,Other,Urban,648,Rejected
51,Male,No,3,Not Graduate,Business,7,1681,394,621,Good,416,180,Home,Rural,356,Rejected
26,Male,No,1,Not Graduate,Unemployed,28,1859,615,587,Good,200,360,Business,Semiurban,377,Rejected
30,Male,No,1,Graduate,Salaried,18,696,544,470,Good,167,240,Business,Rural,360,Rejected
36,Female,No,1,Graduate,Unemployed,8,233,633,552,Good,436,180,Other,Rural,62,Rejected
24,Male,Yes,2,Not Graduate,Salaried,20,207,11,825,Bad,675,180,Personal,Urban,354,Rejected
42,Male,Yes,0,Not Graduate,Salaried,8,771,387,507,Good,427,480,Personal,Rural,654,Rejected
33,Female,No,3,Graduate,Salaried,9,719,178,484,Good,560,300,Other,Rural,743,Rejected
36,Male,No,2,Not Graduate,Business,8,1855,232,595,Good,707,360,Home,Urban,637,Rejected
49,Female,No,3,Graduate,Salaried,11,295,595,345,Good,387,180,Home,Semiurban,382,Rejected
26,Male,No,2,Not Graduate,Business,11,1345,868,405,Good,393,240,Home,Rural,911,Rejected
46,Female,Yes,3,Graduate,Self-Employed,10,973,985,527,Good,510,300,Car,Rural,441,Rejected
31,Male,No,3,Not Graduate,Business,19,1634,770,415,Good,96,240,Other,Urban,62,Rejected
44,Male,No,1,Not Graduate,Unemployed,17,544,572,864,Good,365,180,Personal,Urban,687,Rejected
49,Female,Yes,3,Not Graduate,Business,6,1103,42,840,Good,349,240,Education,Urban,35,Rejected
23,Female,No,3,Graduate,Business,0,308,769,550,Bad,283,240,Personal,Semiurban,238,Rejected
30,Female,No,1,Graduate,Business,6,1955,71,732,Good,324,300,Education,Rural,186,Approved
21,Female,Yes,2,Graduate,Self-Employed,0,602,472,352,Good,121,480,Business,Urban,848,Rejected
63,Female,No,2,Not Graduate,Business,13,1059,511,346,Good,516,360,Other,Rural,546,Rejected
46,Female,Yes,0,Graduate,Unemployed,12,831,558,380,Good,352,180,Home,Rural,198,Rejected
32,Female,No,0,Not Graduate,Unemployed,20,650,343,733,Good,455,240,Business,Urban,223,Rejected
34,Male,Yes,0,Graduate,Salaried,12,941,251,626,Good,783,180,Business,Urban,528,Rejected
45,Male,Yes,0,Graduate,Business,16,1636,530,571,Good,658,240,Business,Urban,370,Rejected
28,Male,No,3,Graduate,Self-Employed,7,790,991,592,Good,475,480,Business,Urban,40,Rejected
63,Male,No,3,Not Graduate,Salaried,16,1730,512,677,Bad,190,480,Business,Rural,292,Rejected
24,Male,No,0,Graduate,Unemployed,29,349,961,722,Good,113,180,Home,Rural,803,Approved
48,Male,No,1,Not Graduate,Salaried,12,1859,907,893,Good,664,180,Other,Semiurban,933,Approved
27,Male,Yes,0,Not Graduate,Self-Employed,21,921,298,868,Good,357,180,Personal,Rural,914,Approved
30,Female,No,2,Not Graduate,Unemployed,16,503,54,831,Good,492,180,Education,Urban,744,Rejected
56,Male,No,3,Not Graduate,Unemployed,14,1472,168,409,Good,466,480,Business,Rural,778,Rejected
22,Female,No,1,Graduate,Business,1,1416,737,771,Good,585,360,Personal,Semiurban,41,Rejected
46,Male,Yes,2,Not Graduate,Unemployed,12,220,613,696,Good,104,240,Home,Rural,631,Approved
34,Female,Yes,1,Not Graduate,Unemployed,19,1821,190,886,Good,122,480,Business,Semiurban,687,Approved
36,Male,Yes,1,Graduate,Unemployed,28,1340,317,863,Good,330,300,Personal,Urban,536,Approved
63,Male,Yes,0,Not Graduate,Business,27,612,877,657,Good,258,360,Personal,Semiurban,459,Approved
62,Male,Yes,2,Not Graduate,Business,7,665,312,811,Good,291,180,Car,Urban,584,Approved
37,Male,No,0,Graduate,Unemployed,2,1074,729,841,Good,692,180,Car,Semiurban,290,Rejected
42,Female,No,2,Not Graduate,Self-Employed,23,1605,531,549,Good,205,180,Other,Semiurban,239,Rejected
24,Male,No,3,Graduate,Self-Employed,6,186,781,793,Good,172,480,Education,Rural,4,Rejected
39,Female,Yes,2,Not Graduate,Salaried,27,576,932,688,Good,518,180,Education,Urban,45,Rejected
22,Male,No,3,Not Graduate,Unemployed,21,725,874,402,Good,241,480,Home,Semiurban,997,Rejected
59,Male,Yes,3,Graduate,Unemployed,25,1008,839,577,Good,345,240,Business,Semiurban,318,Rejected
29,Male,Yes,0,Not Graduate,Business,16,357,116,350,Good,431,300,Home,Urban,669,Rejected
39,Male,Yes,3,Graduate,Business,5,1675,251,681,Good,272,240,Business,Rural,355,Approved
36,Female,Yes,0,Not Graduate,Self-Employed,5,1630,958,885,Good,370,180,Home,Rural,876,Approved
45,Female,Yes,1,Graduate,Self-Employed,25,1563,516,428,Good,304,240,Personal,Rural,416,Rejected
38,Female,No,1,Not Graduate,Salaried,23,1448,938,857,Good,131,240,Car,Rural,915,Approved
43,Male,No,1,Graduate,Unemployed,10,121,851,378,Bad,266,300,Personal,Rural,515,Rejected
41,Male,No,2,Not Graduate,Business,5,158,582,597,Good,747,360,Other,Urban,739,Rejected
31,Male,No,3,Not Graduate,Salaried,1,922,50,853,Good,395,300,Home,Rural,465,Rejected
59,Male,Yes,0,Graduate,Salaried,25,1394,708,619,Good,183,180,Personal,Semiurban,786,Rejected
61,Female,No,1,Not Graduate,Self-Employed,2,220,503,704,Good,369,240,Personal,Urban,948,Rejected
24,Female,No,0,Not Graduate,Unemployed,1,816,750,378,Bad,525,300,Other,Rural,774,Rejected
45,Female,Yes,1,Not Graduate,Unemployed,2,218,239,782,Good,524,360,Personal,Rural,645,Rejected
52,Male,Yes,3,Graduate,Business,0,257,40,830,Bad,263,300,Other,Urban,773,Rejected
50,Female,Yes,1,Not Graduate,Unemployed,6,764,726,826,Good,285,480,Car,Rural,854,Approved
46,Male,No,0,Not Graduate,Salaried,20,1464,445,478,Good,419,360,Education,Semiurban,365,Rejected
56,Female,No,1,Not Graduate,Unemployed,15,1972,918,827,Good,784,180,Education,Semiurban,163,Rejected
54,Female,No,0,Graduate,Unemployed,24,1095,86,608,Bad,69,300,Other,Urban,466,Rejected
29,Female,Yes,1,Graduate,Business,15,522,912,322,Bad,778,360,Education,Urban,8,Rejected
32,Female,Yes,0,Graduate,Self-Employed,22,133,762,754,Good,158,300,Other,Urban,936,Rejected
22,Male,Yes,1,Not Graduate,Salaried,16,588,424,388,Bad,194,180,Car,Semiurban,391,Rejected
58,Male,Yes,3,Not Graduate,Business,0,1733,274,539,Bad,217,480,Business,Rural,570,Rejected
25,Female,Yes,1,Not Graduate,Business,17,1300,540,535,Good,73,240,Business,Semiurban,667,Rejected
25,Female,Yes,2,Graduate,Unemployed,6,1673,121,472,Good,437,300,Home,Urban,132,Rejected
42,Male,No,0,Graduate,Business,22,1685,131,306,Good,154,300,Other,Urban,806,Rejected
25,Female,Yes,1,Not Graduate,Self-Employed,8,798,196,660,Bad,458,300,Business,Urban,343,Rejected
24,Female,Yes,2,Graduate,Salaried,2,1625,201,383,Good,92,240,Personal,Semiurban,380,Rejected
29,Female,Yes,0,Not Graduate,Salaried,15,1609,653,512,Good,345,480,Business,Semiurban,800,Rejected
49,Male,Yes,1,Graduate,Business,2,1697,804,676,Good,711,300,Education,Urban,3,Rejected
42,Male,Yes,1,Graduate,Salaried,29,1789,425,770,Good,540,480,Other,Rural,553,Approved
47,Female,Yes,3,Not Graduate,Self-Employed,23,677,183,601,Bad,579,480,Education,Rural,237,Rejected
30,Female,Yes,1,Not Graduate,Business,5,1989,994,844,Good,190,180,Car,Urban,174,Approved
36,Male,Yes,0,Not Graduate,Business,18,201,3,333,Bad,639,360,Education,Semiurban,599,Rejected
62,Male,Yes,2,Graduate,Self-Employed,23,1868,773,890,Good,727,300,Car,Rural,671,Approved
62,Male,No,1,Graduate,Business,13,609,366,646,Bad,601,300,Education,Rural,669,Rejected
30,Male,No,2,Graduate,Salaried,2,289,778,619,Bad,92,480,Education,Semiurban,215,Rejected
26,Male,No,0,Graduate,Salaried,5,711,726,743,Good,568,360,Personal,Rural,11,Rejected
25,Male,No,0,Graduate,Self-Employed,16,1997,403,564,Good,83,300,Other,Semiurban,409,Rejected
26,Male,Yes,1,Graduate,Unemployed,3,919,721,548,Bad,412,240,Education,Semiurban,150,Rejected
45,Male,No,3,Not Graduate,Unemployed,21,1313,397,564,Bad,54,300,Education,Semiurban,932,Rejected
24,Female,No,1,Graduate,Unemployed,20,837,768,842,Good,480,480,Home,Rural,108,Rejected
60,Female,Yes,3,Graduate,Self-Employed,3,976,767,600,Good,69,180,Other,Semiurban,655,Rejected
52,Male,Yes,1,Graduate,Unemployed,9,423,248,738,Good,723,180,Car,Semiurban,673,Rejected
55,Female,Yes,2,Graduate,Salaried,14,1966,702,761,Good,325,300,Education,Urban,337,Approved
30,Male,Yes,3,Graduate,Business,16,1037,360,797,Good,631,240,Car,Semiurban,43,Rejected
54,Female,No,3,Not Graduate,Unemployed,19,240,357,724,Good,106,300,Other,Urban,256,Approved
56,Male,Yes,2,Graduate,Self-Employed,16,1738,598,877,Good,108,240,Car,Semiurban,183,Approved
26,Male,Yes,1,Not Graduate,Salaried,10,1031,222,874,Bad,151,180,Education,Semiurban,581,Rejected
63,Female,Yes,0,Not Graduate,Unemployed,25,1576,653,676,Good,173,180,Education,Rural,895,Approved
36,Female,No,0,Graduate,Unemployed,3,970,582,838,Bad,779,240,Business,Urban,435,Rejected
39,Female,No,1,Graduate,Salaried,12,174,560,491,Good,390,360,Personal,Semiurban,50,Rejected
54,Female,Yes,2,Not Graduate,Self-Employed,18,1406,901,804,Good,590,480,Education,Urban,981,Approved
45,Female,No,0,Graduate,Business,13,358,687,487,Good,228,240,Home,Urban,81,Rejected
51,Male,Yes,2,Graduate,Salaried,22,478,828,611,Good,662,360,Education,Urban,134,Rejected
61,Male,No,1,Graduate,Business,10,528,662,626,Good,143,360,Personal,Rural,811,Rejected
37,Male,Yes,2,Graduate,Unemployed,21,737,807,487,Good,211,300,Other,Urban,933,Rejected
50,Female,No,2,Graduate,Salaried,5,390,716,520,Good,643,240,Home,Rural,942,Rejected
59,Male,No,2,Not Graduate,Unemployed,15,1800,696,765,Good,466,360,Other,Urban,365,Approved
51,Male,No,0,Not Graduate,Unemployed,25,1009,149,883,Good,516,480,Car,Urban,247,Rejected
39,Female,Yes,2,Not Graduate,Unemployed,29,1920,634,498,Bad,634,180,Home,Semiurban,812,Rejected
55,Male,No,3,Not Graduate,Unemployed,10,855,657,387,Good,682,300,Car,Semiurban,340,Rejected
49,Female,No,2,Not Graduate,Unemployed,18,968,928,743,Good,708,240,Home,Rural,123,Rejected
21,Female,No,2,Graduate,Self-Employed,5,673,506,641,Good,183,240,Car,Rural,447,Rejected
24,Male,Yes,1,Graduate,Unemployed,11,820,122,447,Good,528,300,Car,Rural,515,Rejected
48,Male,No,2,Graduate,Salaried,18,497,586,689,Good,652,480,Car,Semiurban,544,Rejected
38,Female,Yes,2,Not Graduate,Business,22,1538,518,427,Good,555,180,Car,Semiurban,270,Rejected
46,Female,Yes,0,Graduate,Salaried,17,1939,551,435,Good,89,360,Education,Rural,858,Rejected
60,Male,Yes,3,Graduate,Salaried,13,1623,747,555,Good,433,360,Other,Semiurban,932,Rejected
39,Male,Yes,1,Not Graduate,Self-Employed,8,905,109,506,Good,312,360,Business,Semiurban,430,Rejected
26,Male,Yes,3,Not Graduate,Unemployed,9,794,348,321,Good,566,300,Business,Rural,381,Rejected
21,Male,No,2,Not Graduate,Business,14,603,576,334,Good,546,180,Other,Semiurban,60,Rejected
28,Male,Yes,0,Graduate,Business,17,1128,166,597,Bad,249,300,Business,Semiurban,239,Rejected
53,Female,No,3,Not Graduate,Unemployed,16,1525,573,392,Good,247,240,Business,Urban,45,Rejected
63,Female,No,3,Not Graduate,Business,19,949,894,427,Bad,490,360,Home,Urban,574,Rejected
41,Male,Yes,3,Not Graduate,Self-Employed,12,1778,816,838,Good,423,240,Education,Semiurban,234,Approved
44,Male,Yes,3,Graduate,Unemployed,23,534,984,624,Good,674,480,Personal,Urban,563,Rejected
45,Male,Yes,3,Not Graduate,Business,15,1191,33,808,Bad,745,360,Other,Urban,922,Rejected
63,Male,No,0,Not Graduate,Salaried,6,1865,345,675,Good,238,240,Car,Urban,784,Approved
39,Male,No,2,Not Graduate,Business,5,536,491,743,Good,306,300,Personal,Urban,696,Approved
49,Female,No,0,Not Graduate,Salaried,29,984,636,834,Good,445,240,Business,Rural,57,Rejected
30,Female,No,0,Not Graduate,Unemployed,12,1612,442,823,Good,713,360,Education,Rural,30,Rejected
32,Male,No,0,Not Graduate,Salaried,25,1388,637,540,Good,735,300,Education,Urban,691,Rejected
53,Male,No,0,Graduate,Salaried,11,862,846,738,Good,529,300,Other,Rural,398,Rejected
27,Male,No,2,Graduate,Self-Employed,22,1503,284,797,Good,205,240,Car,Semiurban,683,Approved
37,Female,No,2,Not Graduate,Self-Employed,14,1526,792,507,Good,761,480,Education,Semiurban,195,Rejected
30,Female,No,0,Graduate,Unemployed,3,1532,571,364,Good,574,240,Car,Semiurban,465,Rejected
51,Female,Yes,3,Graduate,Self-Employed,23,1812,761,606,Bad,396,360,Other,Rural,290,Rejected
26,Male,No,2,Graduate,Unemployed,11,1335,69,759,Good,450,480,Personal,Semiurban,763,Approved
37,Male,Yes,2,Not Graduate,Self-Employed,19,689,499,755,Good,141,480,Other,Rural,348,Approved
57,Female,Yes,0,Not Graduate,Salaried,9,1003,26,530,Bad,589,300,Car,Urban,972,Rejected
38,Female,No,3,Graduate,Unemployed,7,556,323,827,Good,60,240,Other,Semiurban,468,Approved
46,Male,No,3,Graduate,Salaried,13,376,579,304,Good,91,240,Business,Rural,653,Rejected
36,Female,No,0,Graduate,Business,26,197,363,470,Good,240,180,Other,Rural,952,Rejected
28,Female,No,0,Graduate,Unemployed,13,1115,760,792,Good,621,180,Personal,Semiurban,819,Approved
44,Female,No,2,Not Graduate,Unemployed,20,1035,426,356,Good,371,360,Other,Urban,529,Rejected
33,Male,No,2,Graduate,Unemployed,28,412,617,396,Good,159,240,Business,Semiurban,68,Rejected
49,Male,Yes,1,Not Graduate,Self-Employed,29,345,292,813,Good,129,240,Personal,Urban,968,Approved
52,Female,Yes,1,Graduate,Business,24,158,177,439,Bad,494,180,Personal,Semiurban,46,Rejected
44,Female,No,0,Not Graduate,Self-Employed,6,460,539,669,Bad,717,480,Other,Urban,423,Rejected
36,Male,Yes,1,Not Graduate,Self-Employed,9,1328,931,722,Good,357,480,Car,Rural,95,Rejected
31,Male,Yes,3,Not Graduate,Business,28,781,980,864,Good,390,300,Other,Rural,51,Rejected
52,Female,Yes,3,Not Graduate,Unemployed,9,1232,578,746,Good,429,300,Personal,Rural,768,Approved
26,Female,Yes,3,Not Graduate,Self-Employed,21,1310,699,311,Good,440,360,Home,Semiurban,950,Rejected
55,Female,Yes,2,Not Graduate,Business,17,1352,784,461,Good,753,240,Other,Urban,682,Rejected
53,Male,Yes,1,Not Graduate,Salaried,21,257,606,316,Good,730,360,Personal,Semiurban,38,Rejected
38,Female,No,1,Graduate,Unemployed,27,1810,701,329,Good,569,240,Education,Urban,835,Rejected
57,Female,Yes,0,Not Graduate,Salaried,16,1184,600,385,Good,607,300,Other,Semiurban,340,Rejected
33,Female,Yes,2,Graduate,Unemployed,17,311,481,720,Good,227,240,Car,Rural,68,Rejected
30,Female,Yes,2,Graduate,Unemployed,13,1258,558,507,Good,258,360,Other,Urban,163,Rejected
57,Female,Yes,2,Graduate,Business,4,1433,944,581,Good,173,300,Business,Semiurban,728,Rejected
46,Male,No,3,Graduate,Business,28,847,855,731,Good,472,300,Business,Rural,971,Approved
37,Female,Yes,2,Graduate,Salaried,6,1143,225,595,Good,759,480,Personal,Urban,216,Rejected
21,Female,No,1,Graduate,Salaried,16,1395,790,878,Good,644,300,Car,Rural,731,Approved
45,Male,Yes,0,Graduate,Self-Employed,1,1637,843,655,Good,80,360,Education,Semiurban,197,Rejected
54,Male,No,1,Not Graduate,Self-Employed,3,1356,880,777,Good,309,240,Home,Urban,986,Approved
59,Female,Yes,2,Graduate,Unemployed,8,855,983,367,Good,74,480,Business,Urban,543,Rejected
30,Female,Yes,0,Graduate,Salaried,7,1734,720,358,Good,213,360,Other,Urban,185,Rejected
40,Female,Yes,3,Graduate,Self-Employed,25,1294,324,509,Good,465,240,Education,Semiurban,487,Rejected
27,Male,No,0,Graduate,Business,24,255,841,778,Good,689,180,Education,Urban,657,Rejected
36,Male,No,2,Graduate,Business,3,1389,444,787,Good,602,180,Home,Rural,808,Approved
57,Male,No,2,Graduate,Salaried,10,1840,334,439,Bad,281,480,Car,Urban,51,Rejected
49,Male,No,0,Not Graduate,Business,6,1657,205,458,Good,695,480,Home,Rural,403,Rejected
32,Female,Yes,2,Graduate,Self-Employed,10,1029,236,455,Good,573,300,Home,Semiurban,746,Rejected
37,Male,Yes,2,Graduate,Self-Employed,2,1267,550,399,Good,692,360,Home,Semiurban,510,Rejected
40,Female,No,2,Graduate,Salaried,11,171,719,581,Bad,417,240,Other,Urban,241,Rejected
46,Male,Yes,2,Graduate,Self-Employed,7,1884,278,540,Good,554,180,Other,Rural,427,Rejected
39,Female,Yes,0,Graduate,Salaried,27,1197,432,824,Good,732,180,Home,Semiurban,916,Rejected
32,Female,Yes,0,Not Graduate,Self-Employed,6,1690,959,765,Good,395,480,Business,Rural,467,Approved
41,Female,No,1,Graduate,Self-Employed,23,1571,662,790,Good,201,360,Business,Semiurban,637,Approved
62,Male,No,3,Graduate,Self-Employed,24,1984,527,596,Good,373,480,Car,Semiurban,653,Rejected
54,Female,Yes,3,Not Graduate,Salaried,21,468,928,587,Good,296,360,Car,Rural,359,Rejected
27,Female,No,1,Graduate,Salaried,12,471,50,784,Good,210,180,Business,Urban,765,Approved
55,Female,No,0,Not Graduate,Self-Employed,3,1048,561,676,Bad,419,360,Business,Urban,392,Rejected
35,Male,No,1,Not Graduate,Self-Employed,27,1805,335,654,Good,473,480,Business,Semiurban,383,Approved
21,Female,No,2,Not Graduate,Self-Employed,18,513,65,891,Good,491,300,Other,Rural,108,Rejected
46,Male,Yes,2,Graduate,Business,2,927,413,605,Good,185,360,Car,Urban,230,Rejected
55,Female,No,3,Graduate,Unemployed,29,735,609,302,Good,444,300,Personal,Semiurban,431,Rejected
45,Male,No,0,Not Graduate,Unemployed,26,827,487,809,Good,326,180,Education,Urban,41,Rejected
62,Female,Yes,3,Not Graduate,Business,28,869,34,537,Good,303,300,Business,Rural,463,Rejected
35,Female,No,1,Graduate,Unemployed,26,1925,499,705,Good,450,360,Education,Urban,258,Approved
42,Female,Yes,3,Graduate,Unemployed,10,141,635,571,Bad,751,480,Personal,Semiurban,652,Rejected
26,Female,Yes,3,Not Graduate,Unemployed,5,888,442,668,Good,371,480,Car,Semiurban,438,Approved
35,Male,No,2,Not Graduate,Self-Employed,15,1413,124,621,Good,756,240,Home,Urban,801,Rejected
44,Female,Yes,3,Graduate,Business,23,387,538,739,Good,413,180,Car,Urban,759,Rejected
41,Female,Yes,1,Not Graduate,Self-Employed,28,1025,111,385,Good,382,480,Education,Rural,285,Rejected
27,Female,No,0,Not Graduate,Unemployed,7,419,163,889,Good,520,480,Car,Rural,903,Rejected
49,Male,No,3,Not Graduate,Business,10,1969,157,825,Good,62,180,Business,Rural,744,Approved
52,Male,No,0,Not Graduate,Business,23,1910,693,803,Good,265,480,Personal,Urban,250,Approved
52,Male,Yes,1,Not Graduate,Self-Employed,8,897,803,368,Good,507,360,Car,Semiurban,67,Rejected
25,Female,Yes,3,Graduate,Salaried,0,285,572,454,Good,78,240,Business,Semiurban,715,Rejected
24,Male,Yes,0,Graduate,Business,6,524,928,763,Good,469,180,Personal,Semiurban,775,Rejected
42,Male,Yes,2,Graduate,Salaried,9,382,192,386,Good,449,300,Business,Semiurban,547,Rejected
38,Male,Yes,2,Graduate,Unemployed,8,371,608,373,Bad,306,480,Other,Rural,24,Rejected
55,Female,Yes,1,Not Graduate,Business,12,636,385,522,Good,505,360,Business,Semiurban,620,Rejected
37,Male,No,3,Graduate,Salaried,26,217,11,326,Good,752,240,Personal,Urban,238,Rejected
44,Female,Yes,1,Not Graduate,Salaried,17,1212,974,403,Good,737,480,Education,Rural,310,Rejected
22,Male,Yes,0,Graduate,Self-Employed,15,955,326,358,Good,545,300,Personal,Semiurban,247,Rejected
33,Male,No,0,Not Graduate,Salaried,3,1056,642,378,Good,739,180,Home,Semiurban,136,Rejected
35,Female,Yes,1,Not Graduate,Unemployed,29,1574,646,451,Good,307,180,Home,Rural,383,Rejected
25,Female,Yes,0,Graduate,Unemployed,5,1467,940,398,Good,221,360,Education,Semiurban,487,Rejected
23,Female,Yes,1,Not Graduate,Business,19,622,6,440,Good,251,360,Personal,Semiurban,667,Rejected
57,Male,No,1,Not Graduate,Self-Employed,8,1795,699,881,Good,342,300,Car,Rural,62,Rejected
57,Female,No,2,Graduate,Self-Employed,25,1466,112,351,Good,604,240,Personal,Semiurban,283,Rejected
57,Female,No,0,Graduate,Self-Employed,11,1455,15,395,Good,644,240,Business,Rural,283,Rejected
23,Male,No,1,Not Graduate,Unemployed,27,604,572,512,Good,204,180,Education,Rural,398,Rejected
55,Female,Yes,2,Graduate,Salaried,11,202,186,457,Good,737,180,Business,Urban,202,Rejected
43,Female,Yes,1,Not Graduate,Unemployed,0,264,238,353,Good,224,360,Other,Rural,162,Rejected
48,Male,No,0,Graduate,Unemployed,8,1431,479,678,Bad,469,480,Personal,Semiurban,566,Rejected
50,Male,Yes,2,Not Graduate,Salaried,9,261,155,486,Good,795,480,Other,Semiurban,167,Rejected
38,Male,Yes,0,Graduate,Unemployed,16,1208,706,602,Good,134,300,Business,Semiurban,518,Rejected
56,Female,Yes,3,Graduate,Business,0,1341,931,387,Bad,249,240,Personal,Semiurban,250,Rejected
53,Male,No,3,Graduate,Business,20,455,635,479,Bad,695,180,Home,Urban,602,Rejected
46,Female,Yes,3,Not Graduate,Business,0,340,559,576,Bad,588,180,Car,Urban,607,Rejected
60,Male,No,3,Graduate,Business,9,533,752,487,Good,225,180,Personal,Semiurban,474,Rejected
37,Male,Yes,2,Graduate,Business,8,606,791,475,Good,187,480,Business,Urban,975,Rejected
60,Male,Yes,0,Not Graduate,Self-Employed,21,1516,244,373,Bad,430,300,Education,Urban,73,Rejected
27,Female,No,1,Graduate,Unemployed,29,909,871,439,Good,501,300,Car,Urban,142,Rejected
28,Female,No,1,Not Graduate,Salaried,8,394,239,770,Good,605,180,Home,Rural,819,Rejected
51,Female,Yes,1,Graduate,Self-Employed,4,1153,701,415,Good,495,240,Personal,Semiurban,553,Rejected
32,Female,No,0,Graduate,Salaried,21,486,149,738,Bad,322,360,Personal,Urban,182,Rejected
51,Female,No,2,Graduate,Unemployed,1,725,837,558,Bad,359,480,Education,Semiurban,511,Rejected
64,Male,Yes,0,Not Graduate,Self-Employed,13,219,840,673,Bad,363,240,Personal,Urban,64,Rejected
39,Male,No,3,Graduate,Salaried,11,1503,867,877,Good,319,360,Personal,Semiurban,816,Approved
30,Male,No,1,Not Graduate,Business,28,1765,872,705,Bad,590,180,Business,Rural,42,Rejected
59,Male,No,0,Graduate,Self-Employed,15,476,587,794,Good,662,360,Business,Urban,972,Rejected
32,Female,No,3,Graduate,Business,15,806,142,549,Good,508,180,Other,Urban,335,Rejected
40,Female,No,3,Not Graduate,Self-Employed,8,690,837,372,Bad,401,480,Home,Rural,379,Rejected
57,Female,No,2,Not Graduate,Unemployed,18,1612,941,576,Good,693,240,Car,Semiurban,665,Rejected
61,Male,Yes,1,Graduate,Self-Employed,20,1756,312,720,Good,127,180,Personal,Semiurban,411,Approved
27,Male,No,0,Not Graduate,Unemployed,23,1097,14,460,Good,232,300,Education,Urban,326,Rejected
34,Female,No,3,Not Graduate,Self-Employed,20,1614,331,620,Good,784,300,Home,Urban,337,Rejected
31,Male,Yes,3,Graduate,Unemployed,25,1093,397,664,Good,110,300,Other,Rural,465,Approved
27,Male,No,1,Not Graduate,Business,19,1780,65,626,Good,522,480,Other,Urban,922,Rejected
49,Female,No,0,Not Graduate,Unemployed,19,1826,977,339,Good,174,300,Education,Rural,80,Rejected
30,Male,Yes,0,Graduate,Business,27,742,573,618,Good,153,480,Business,Semiurban,497,Rejected
49,Female,Yes,1,Graduate,Self-Employed,20,1706,282,863,Good,381,360,Personal,Semiurban,914,Approved
29,Male,No,3,Not Graduate,Self-Employed,18,1218,43,788,Good,226,300,Other,Rural,357,Approved
56,Female,No,2,Not Graduate,Self-Employed,9,1901,208,459,Good,331,240,Personal,Urban,754,Rejected
30,Male,Yes,1,Not Graduate,Self-Employed,10,1238,811,735,Bad,700,300,Home,Urban,329,Rejected
39,Female,No,3,Graduate,Business,19,966,24,840,Bad,293,180,Education,Urban,476,Rejected
51,Female,No,2,Not Graduate,Salaried,4,1178,42,365,Good,634,240,Personal,Rural,905,Rejected
37,Male,Yes,1,Graduate,Salaried,19,1882,581,766,Good,249,300,Education,Rural,84,Rejected
29,Male,Yes,1,Graduate,Unemployed,15,1783,957,398,Good,489,180,Personal,Semiurban,542,Rejected
53,Female,Yes,3,Not Graduate,Self-Employed,18,1764,701,839,Good,386,480,Car,Urban,693,Approved
54,Female,No,1,Not Graduate,Self-Employed,11,653,995,701,Good,772,300,Personal,Rural,186,Rejected
44,Female,Yes,0,Not Graduate,Salaried,16,880,362,537,Good,442,480,Other,Rural,306,Rejected
